915006,Sub-Saharan Africa,South Africa,Cosmetics,Offline
915016,Sub-Saharan Africa,South Sudan,Office Supplies,Online
915026,Europe,Switzerland,Baby Food,Online
915036,Central America and the Caribbean,Haiti,Office Supplies,Offline
915046,Europe,Austria,Baby Food,Online
915056,Sub-Saharan Africa,Sudan,Clothes,Offline
915066,Australia and Oceania,Tuvalu,Meat,Online
915076,Europe,Romania,Snacks,Offline
915086,Europe,Liechtenstein,Beverages,Offline
915096,Middle East and North Africa,Afghanistan,Beverages,Offline
915106,Europe,Belgium,Meat,Online
915116,Sub-Saharan Africa,Chad,Vegetables,Offline
915126,Europe,Portugal,Household,Offline
915136,Sub-Saharan Africa,Zimbabwe,Personal Care,Offline
915146,Sub-Saharan Africa,Botswana,Clothes,Online
915156,Central America and the Caribbean,Belize,Snacks,Offline
915166,Sub-Saharan Africa,Republic of the Congo,Baby Food,Offline
915176,Europe,Netherlands,Meat,Offline
915186,Europe,Hungary,Beverages,Online
915196,Europe,Czech Republic,Beverages,Online
915206,Europe,Luxembourg,Clothes,Offline
915216,Australia and Oceania,Tonga,Office Supplies,Offline
915226,Central America and the Caribbean,Panama,Snacks,Online
915236,Middle East and North Africa,Morocco,Office Supplies,Online
915246,Sub-Saharan Africa,Mauritania,Meat,Offline
915256,Sub-Saharan Africa,Lesotho,Cosmetics,Offline
915266,Sub-Saharan Africa,Cote d'Ivoire,Cosmetics,Online
915276,Europe,Serbia,Cereal,Offline
915286,Middle East and North Africa,Algeria,Cosmetics,Online
915296,Asia,Myanmar,Office Supplies,Offline
915306,Sub-Saharan Africa,Sudan,Clothes,Online
915316,Europe,Italy,Personal Care,Online
915326,Sub-Saharan Africa,Cape Verde,Vegetables,Offline
915336,Middle East and North Africa,Algeria,Baby Food,Online
915346,Europe,Hungary,Fruits,Online
915356,Middle East and North Africa,Iran,Snacks,Online
915366,Sub-Saharan Africa,Burundi,Beverages,Online
915376,Middle East and North Africa,Qatar,Meat,Offline
915386,Europe,Macedonia,Meat,Online
915396,Asia,Philippines,Office Supplies,Offline
915406,Europe,Greece,Meat,Offline
915416,Central America and the Caribbean,Barbados,Snacks,Offline
915426,Europe,Belarus,Fruits,Offline
915436,Europe,Liechtenstein,Cosmetics,Online
915446,Australia and Oceania,Tuvalu,Baby Food,Offline
915456,Europe,Liechtenstein,Clothes,Offline
915466,Middle East and North Africa,Somalia,Cosmetics,Offline
915476,Europe,Finland,Snacks,Offline
915486,Sub-Saharan Africa,Mauritius ,Cereal,Offline
915496,Asia,Bhutan,Snacks,Online
